step,train_loss,val_loss,val_ppl,lr_adamw,lr_muon,norm,dt_ms,tokens_per_sec,hella_acc
232,6.22845983505249,,,0.00019634831460674153,0.006544943820224718,1.458929419517517,1649.2986679077148,317885.42014958814,
233,6.191025257110596,,,0.00019719101123595505,0.006573033707865169,1.690048336982727,1649.9831676483154,317753.5445693401,
234,6.198511123657227,,,0.00019803370786516852,0.006601123595505618,1.2523032426834106,1649.5885848999023,317829.5514404363,
235,6.190878391265869,,,0.00019887640449438198,0.006629213483146067,1.1819298267364502,1649.6403217315674,317819.5835136195,
236,6.213228702545166,,,0.0001997191011235955,0.006657303370786517,1.027732253074646,1650.0458717346191,317741.4694834148,
237,6.200352191925049,,,0.00020056179775280897,0.006685393258426966,1.0739086866378784,1649.2667198181152,317891.57793581113,
238,6.121935844421387,,,0.00020140449438202246,0.006713483146067416,1.1361732482910156,1649.6529579162598,317817.14904585044,
239,6.158434867858887,,,0.00020224719101123595,0.006741573033707866,1.249820590019226,1649.4593620300293,317854.4510213008,
240,6.139252662658691,,,0.00020308988764044942,0.006769662921348315,1.1363621950149536,1649.6429443359375,317819.07824365696,
241,6.176994323730469,,,0.0002039325842696629,0.006797752808988764,1.334831714630127,1649.2204666137695,317900.49336246983,
242,6.141327857971191,,,0.00020477528089887637,0.006825842696629213,1.1974328756332397,1649.686574935913,317810.67262450594,
243,6.130619525909424,,,0.00020561797752808984,0.006853932584269662,1.258263349533081,1650.3894329071045,317675.32531790674,
244,6.042710304260254,,,0.00020646067415730336,0.006882022471910113,0.9150567650794983,1649.8620510101318,317776.87090808805,
245,6.0293731689453125,,,0.00020730337078651682,0.006910112359550561,1.0076055526733398,1649.7178077697754,317804.6557603544,
246,6.053114414215088,,,0.00020814606741573034,0.0069382022471910125,1.1015807390213013,1649.604082107544,317826.5655903122,
247,6.107002258300781,,,0.0002089887640449438,0.006966292134831461,1.5522760152816772,1649.8358249664307,317781.92233804095,
248,6.082334995269775,,,0.00020983146067415727,0.00699438202247191,1.2687746286392212,1650.8269309997559,317591.1357845891,
249,6.033827781677246,,,0.0002106741573033708,0.00702247191011236,1.3299782276153564,1649.9197483062744,317765.7583274629,
250,6.056342601776123,6.073261260986328,434.0940696618349,0.00021151685393258426,0.0070505617977528095,0.9792379140853882,2880.375623703003,182020.7044128421,
251,6.010932922363281,,,0.00021235955056179772,0.007078651685393258,1.0559728145599365,1649.0709781646729,317929.3110739868,
252,6.09647798538208,,,0.0002132022471910112,0.007106741573033708,1.1151328086853027,1648.6752033233643,318005.632002684,
253,6.021080017089844,,,0.00021404494382022468,0.007134831460674157,1.1327563524246216,1648.5941410064697,318021.268521506,
